"000200","13.31"
"000203","15.22"
"000206","15.22"
"000211","15.22"
"000223","15.22"
"000228","15.22"
"000229","15.22"
"000230","15.22"
"000242","19.03"
"000243","19.03"
"000260","15.22"
"000262","15.22"
"000263","15.22"
"000264","15.22"
"000265","15.22"
"000266","15.22"
"000267","15.22"
"000300","15.22"
"000301","16.17"
"000302","16.17"
"000600","14.27"
"000601","16.17"
"000602","16.17"
"000810","6.65"
"000814","6.65"
"000851","6.65"
"000852","6.65"
"000900","10.46"
"000910","10.46"
"000914","10.46"
"000923","10.46"
"000960","10.46"
"000980","17.12"
"000990","17.12"
"002016","5.7"
"002100","24.74"
"002100M","26.65"
"002106","24.74"
"002106M","26.65"
"002113","24.74"
"002113M","26.65"
"002126","24.74"
"002126M","26.65"
"002127","24.74"
"002127M","26.65"
"002186","24.74"
"002186M","26.65"
"002400","24.74"
"002400M","26.65"
"002401","24.74"
"002401M","26.65"
"002403","24.74"
"002403M","26.65"
"002410","28.55"
"002410M","30.46"
"002417","24.74"
"002417M","26.65"
"002700","22.84"
"002701","23.79"
"002706","23.79"
"002717","23.79"
"002727","23.79"
"002731","23.79"
"002760","23.79"
"002800","24.74"
"002800M","26.65"
"002800P","26.65"
"002802","24.74"
"002802M","26.65"
"002803","24.74"
"002803M","26.65"
"002811","24.74"
"002811M","26.65"
"002812","24.74"
"002812M","26.65"
"002817","24.74"
"002817M","26.65"
"002827","24.74"
"002827M","26.65"
"002860","24.74"
"002860M","26.65"
"003500","26.65"
"003500M","28.55"
"003501","25.98"
"003501M","28.55"
"003502","26.65"
"003502M","28.55"
"003503","26.65"
"003503M","28.55"
"003507","26.65"
"003507M","28.55"
"003513","26.65"
"003513M","28.55"
"003526","26.65"
"003526M","28.55"
"003527","26.65"
"003527M","28.55"
"003560","26.65"
"003560M","28.55"
"003562","28.55"
"003562M","30.46"
"004303","42.84"
"005200","20.93"
"005202","20.93"
"005203","20.93"
"005206","20.93"
"005207","20.93"
"005220","20.93"
"005286","20.93"
"005400","23.79"
"005407","23.79"
"005410","23.79"
"005420","23.79"
"005421","23.79"
"005426","23.79"
"005427","23.79"
"005436","23.79"
"005460","23.79"
"005486","23.79"
"005600","23.79"
"005600M","24.74"
"005700","22.84"
"005701","22.84"
"005703","22.84"
"005722","22.84"
"005727","22.84"
"005800","23.79"
"005801","23.79"
"005806","23.79"
"005807","23.79"
"005810","23.79"
"005813","23.79"
"005826","23.79"
"005827","23.79"
"005836","23.79"
"005860","23.79"
"005886","23.79"
"005900","20.93"
"005911","20.93"
"005917","20.93"
"005921","20.93"
"005960","20.93"
"006001","17.12"
"006011","18.08"
"006012","17.12"
"006015","17.12"
"006017","17.12"
"006021","17.12"
"006027","17.12"
"006050","17.12"
"006051","17.12"
"006060","17.12"
"006100","23.79"
"006106","23.79"
"006111","23.79"
"006200","23.79"
"006207","23.79"
"006400","23.79"
"006500","23.79"
"006722","28.55"
"006723","28.55"
"006724","28.55"
"006733","28.55"
"006750","28.55"
"006800","23.79"
"006801","23.79"
"006802","32.36"
"006803","32.36"
"006804","32.36"
"006813","23.79"
"006820","23.79"
"006826","23.79"
"006827","23.79"
"006830","23.79"
"006833","23.79"
"006860","23.79"
"006900","26.65"
"006901","26.65"
"006915","26.65"
"006917","26.65"
"006927","26.65"
"006988","26.65"
"007122","36.17"
"007123","36.17"
"007124","36.17"
"007133","36.17"
"007150","22.84"
"007301","39.98"
"007301M","41.89"
"007302","39.98"
"007302M","41.89"
"007315","39.98"
"007315M","41.89"
"007351","52.36"
"007351M","54.27"
"007352","52.36"
"007352M","54.27"
"007361","45.7"
"007361M","47.6"
"007362","45.7"
"007362M","47.6"
"007900","26.65"
"007900M","28.55"
"007900P","28.55"
"007950","26.65"
"007950M","28.55"
"007950P","28.55"
"007954","28.55"
"007954M","30.46"
"007954P","30.46"
"007956","28.55"
"007956M","30.46"
"007956P","30.46"
"008000","20.93"
"008000M","22.84"
"008008","20.93"
"008008M","22.84"
"008009","45.7"
"008009M","47.6"
"008010","20.93"
"008010M","22.84"
"008020","20.93"
"008020M","22.84"
"008032","28.55"
"008100","20.93"
"008200","22.84"
"008300","26.65"
"008320","26.65"
"008320M","28.55"
"008400","22.84"
"008400M","24.74"
"008500","22.84"
"008508","22.84"
"008520","22.84"
"008901","26.65"
"008901G","35.22"
"008901M","28.55"
"008902","26.65"
"008902M","28.55"
"008903","26.65"
"008903G","35.22"
"008903M","28.55"
"008904","26.65"
